,dteday,hr,holiday,weekday,workingday,season_t,weather,temperature,s_temp,humidity,winds,n_employee,exp_employee,occupancy
0,2011-05-19,1,0,4,1,summer,Clear,20.5,24.240000000000002,94,0.0,2.67,9.29,6
1,2012-08-19,18,0,0,0,fall,Cloudy,26.240000000000002,29.544999999999998,78,7.0,2.67,3.57,377
2,2011-09-24,8,0,6,0,winter,Cloudy,23.779999999999998,27.275,90,6.0,2.67,28.0,121
3,2012-11-05,4,0,1,1,winter,Cloudy,12.299999999999999,14.395,52,17.0,2.67,4.57,16
4,2011-11-12,0,0,6,0,winter,Clear,9.84,12.120000000000001,60,9.0,1.67,7.57,64
5,2012-02-26,9,0,0,0,spring,Clear,9.02,10.605,47,15.0,1.67,27.43,87
6,2011-02-22,18,0,2,1,spring,Clear,9.02,11.365,47,9.0,3.0,7.29,167
7,2011-01-02,22,0,0,0,spring,Clear,9.84,10.605,44,20.0,2.67,22.29,9
8,2011-11-28,12,0,1,1,winter,Clear,22.96,26.515,60,7.0,2.33,11.14,178
9,2011-02-13,8,0,0,0,spring,Cloudy,9.02,11.365,64,13.0,2.0,28.0,12
10,2012-06-10,10,0,0,0,summer,Clear,31.16,34.089999999999996,40,7.0,1.67,0.43,413
11,2011-11-25,20,0,5,1,winter,Clear,16.400000000000002,20.455000000000002,57,6.0,2.33,22.29,95
12,2011-08-29,21,0,1,1,fall,Clear,26.240000000000002,31.06,53,13.0,3.0,29.71,202
13,2011-10-15,8,0,6,0,winter,Clear,18.86,22.725,59,19.0,1.67,10.57,125
14,2012-07-25,2,0,3,1,fall,Clear,27.880000000000003,31.819999999999997,61,15.0,1.67,3.86,12
15,2011-05-08,9,0,0,0,summer,Clear,22.96,26.515,52,15.0,1.67,6.14,160
16,2011-08-24,17,0,3,1,fall,Clear,31.16,34.85,52,24.0,3.0,3.29,567
17,2012-01-01,4,0,0,0,spring,Clear,11.48,15.15,81,6.0,2.33,28.29,8
18,2011-03-11,12,0,5,1,spring,Cloudy,13.940000000000001,15.909999999999998,53,17.0,1.67,9.0,111
19,2012-05-20,21,0,0,0,summer,Clear,26.240000000000002,30.305,69,26.0,3.0,22.0,233
20,2012-09-16,21,0,0,0,fall,Clear,24.599999999999998,31.06,56,7.0,2.33,11.86,191
21,2011-07-12,1,0,2,1,fall,Clear,28.7,33.335,79,6.0,1.67,2.57,14
22,2012-10-26,14,0,5,1,winter,Cloudy,24.599999999999998,30.305,64,9.0,2.33,13.0,351
23,2011-09-15,17,0,4,1,fall,LightRain,19.68,23.485,82,31.0,2.0,7.71,261
24,2012-05-18,6,0,5,1,summer,Clear,18.04,21.97,77,9.0,2.33,21.57,182
25,2011-03-28,3,0,1,1,summer,Clear,9.02,11.365,44,11.0,2.0,0.57,2
26,2011-06-16,22,0,4,1,summer,LightRain,25.419999999999998,28.79,83,17.0,1.67,22.57,151
27,2012-11-12,6,1,1,0,winter,Clear,15.58,19.695,87,7.0,3.0,29.57,71
28,2012-05-23,12,0,3,1,summer,Cloudy,27.060000000000002,31.06,69,6.0,3.0,17.57,248
29,2012-07-12,21,0,4,1,fall,Clear,29.52,33.335,48,15.0,2.67,24.71,373
30,2011-07-07,17,0,4,1,fall,Clear,35.26,37.88,36,17.0,2.33,25.71,569
31,2012-10-31,9,0,3,1,winter,Clear,13.940000000000001,16.665,76,9.0,2.67,8.29,297
32,2012-01-23,10,0,1,1,spring,Cloudy,8.200000000000001,12.879999999999999,93,0.0,1.67,28.86,149
33,2012-11-21,15,0,3,1,winter,Clear,18.86,22.725,36,6.0,2.67,12.57,449
34,2011-10-19,16,0,3,1,winter,LightRain,22.96,26.515,94,11.0,2.67,18.86,201
35,2012-06-29,2,0,5,1,fall,Clear,29.52,33.335,57,13.0,2.33,7.86,18
36,2012-08-29,17,0,3,1,fall,Clear,31.98,34.089999999999996,35,15.0,2.33,26.57,870
37,2011-12-19,23,0,1,1,winter,Clear,14.76,17.424999999999997,53,11.0,2.0,18.57,60
38,2011-05-03,6,0,2,1,summer,Cloudy,21.32,25.0,94,11.0,3.0,0.57,109
39,2012-01-08,7,0,0,0,spring,Cloudy,12.299999999999999,16.665,52,0.0,2.67,8.57,24
40,2012-06-22,17,0,5,1,fall,Cloudy,33.62,36.364999999999995,38,11.0,1.67,17.0,646
41,2012-07-16,7,0,1,1,fall,Clear,29.52,34.089999999999996,70,6.0,1.67,27.86,483
42,2012-08-12,13,0,0,0,fall,Clear,31.98,34.85,40,0.0,2.67,7.57,543
43,2011-09-21,10,0,3,1,fall,Cloudy,24.599999999999998,27.275,88,0.0,2.0,17.14,133
